,Unnamed: 0,Cidade,data,confirmados_por_100k,taxa_de_morte
0,0,Florianópolis,2020-03-12,0.39306,0.0
1,2,Florianópolis,2020-03-13,0.39306,0.0
2,5,Florianópolis,2020-03-14,0.39306,0.0
3,10,Florianópolis,2020-03-15,0.39306,0.0
4,15,Florianópolis,2020-03-16,0.58959,0.0
5,20,Florianópolis,2020-03-17,0.58959,0.0
6,26,Florianópolis,2020-03-18,0.98265,0.0
7,33,Florianópolis,2020-03-19,1.17919,0.0
8,36,São José,2020-03-19,0.39971,0.0
9,43,Florianópolis,2020-03-20,1.96531,0.0
10,50,São José,2020-03-20,0.39971,0.0
11,57,Florianópolis,2020-03-21,1.96531,0.0
12,67,São José,2020-03-21,0.79942,0.0
13,75,Florianópolis,2020-03-22,1.96531,0.0
14,86,São José,2020-03-22,1.19913,0.0
15,94,Florianópolis,2020-03-23,2.94796,0.0
16,108,São José,2020-03-23,1.59884,0.0
17,116,Florianópolis,2020-03-24,3.93062,0.0
18,131,São José,2020-03-24,2.39826,0.0
19,143,Florianópolis,2020-03-25,3.14449,0.0
20,159,São José,2020-03-25,1.99855,0.0
21,161,São Pedro de Alcântara,2020-03-25,16.8492,0.0
22,173,Florianópolis,2020-03-26,3.93062,0.0
23,191,São José,2020-03-26,3.19768,0.0
24,193,São Pedro de Alcântara,2020-03-26,16.8492,0.0
25,198,Antônio Carlos,2020-03-27,11.61036,0.0
26,207,Florianópolis,2020-03-27,5.30633,0.0
27,225,São José,2020-03-27,3.19768,0.0
28,228,São Pedro de Alcântara,2020-03-27,16.8492,0.0
29,233,Antônio Carlos,2020-03-28,11.61036,0.0
30,243,Florianópolis,2020-03-28,5.89593,0.0
31,263,São José,2020-03-28,3.5974,0.0
32,266,São Pedro de Alcântara,2020-03-28,16.8492,0.0
33,272,Antônio Carlos,2020-03-29,11.61036,0.0
34,282,Florianópolis,2020-03-29,7.86123,0.0
35,303,São José,2020-03-29,3.99711,0.0
36,306,São Pedro de Alcântara,2020-03-29,16.8492,0.0
37,312,Antônio Carlos,2020-03-30,11.61036,0.0
38,322,Florianópolis,2020-03-30,9.82654,0.0
39,344,São José,2020-03-30,3.99711,0.0
40,347,São Pedro de Alcântara,2020-03-30,16.8492,0.0
41,353,Antônio Carlos,2020-03-31,11.61036,0.0
42,363,Florianópolis,2020-03-31,11.39879,0.0
43,385,São José,2020-03-31,3.99711,0.0
44,388,São Pedro de Alcântara,2020-03-31,16.8492,0.0
45,394,Antônio Carlos,2020-04-01,11.61036,0.0
46,404,Florianópolis,2020-04-01,11.79185,0.0
47,426,São José,2020-04-01,3.99711,0.0
48,429,São Pedro de Alcântara,2020-04-01,16.8492,0.0
49,435,Antônio Carlos,2020-04-02,92.88285,0.125
50,438,Biguaçu,2020-04-02,1.43914,0.0
51,446,Florianópolis,2020-04-02,13.95369,0.0141
52,470,São José,2020-04-02,4.7965300000000015,0.0
53,473,São Pedro de Alcântara,2020-04-02,16.8492,0.0
54,479,Antônio Carlos,2020-04-03,92.88285,0.125
55,483,Biguaçu,2020-04-03,1.43914,0.0
56,491,Florianópolis,2020-04-03,15.32941,0.0128
57,493,Governador Celso Ramos,2020-04-03,6.8465,0.0
58,511,Palhoça,2020-04-03,0.5705399999999999,0.0
59,520,São José,2020-04-03,4.7965300000000015,0.0
60,523,São Pedro de Alcântara,2020-04-03,16.8492,0.0
61,529,Antônio Carlos,2020-04-04,92.88285,0.125
62,534,Biguaçu,2020-04-04,1.43914,0.0
63,542,Florianópolis,2020-04-04,17.88431,0.022000000000000002
64,544,Governador Celso Ramos,2020-04-04,6.8465,0.0
65,563,Palhoça,2020-04-04,1.71163,0.0
66,574,São José,2020-04-04,5.99566,0.0
67,577,São Pedro de Alcântara,2020-04-04,16.8492,0.0
68,583,Antônio Carlos,2020-04-05,92.88285,0.125
