,city,city_ibge_code,date,estimated_population,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths
0,Florianópolis,4205407.0,2020-03-12,508826.0,2,0.39305999999999996,0.0,0,2,0
2,Florianópolis,4205407.0,2020-03-13,508826.0,2,0.39305999999999996,0.0,0,0,0
5,Florianópolis,4205407.0,2020-03-14,508826.0,2,0.39305999999999996,0.0,0,0,0
10,Florianópolis,4205407.0,2020-03-15,508826.0,2,0.39305999999999996,0.0,0,0,0
15,Florianópolis,4205407.0,2020-03-16,508826.0,3,0.58959,0.0,0,1,0
20,Florianópolis,4205407.0,2020-03-17,508826.0,3,0.58959,0.0,0,0,0
26,Florianópolis,4205407.0,2020-03-18,508826.0,5,0.98265,0.0,0,2,0
33,Florianópolis,4205407.0,2020-03-19,508826.0,6,1.17919,0.0,0,1,0
36,São José,4216602.0,2020-03-19,250181.0,1,0.39971,0.0,0,1,0
43,Florianópolis,4205407.0,2020-03-20,508826.0,10,1.96531,0.0,0,4,0
50,São José,4216602.0,2020-03-20,250181.0,1,0.39971,0.0,0,0,0
57,Florianópolis,4205407.0,2020-03-21,508826.0,10,1.96531,0.0,0,0,0
67,São José,4216602.0,2020-03-21,250181.0,2,0.79942,0.0,0,1,0
75,Florianópolis,4205407.0,2020-03-22,508826.0,10,1.96531,0.0,0,0,0
86,São José,4216602.0,2020-03-22,250181.0,3,1.19913,0.0,0,1,0
94,Florianópolis,4205407.0,2020-03-23,508826.0,15,2.9479599999999997,0.0,0,5,0
108,São José,4216602.0,2020-03-23,250181.0,4,1.59884,0.0,0,1,0
116,Florianópolis,4205407.0,2020-03-24,508826.0,20,3.93062,0.0,0,5,0
131,São José,4216602.0,2020-03-24,250181.0,6,2.39826,0.0,0,2,0
143,Florianópolis,4205407.0,2020-03-25,508826.0,16,3.1444900000000002,0.0,0,-4,0
159,São José,4216602.0,2020-03-25,250181.0,5,1.99855,0.0,0,-1,0
161,São Pedro de Alcântara,4217253.0,2020-03-25,5935.0,1,16.8492,0.0,0,1,0
173,Florianópolis,4205407.0,2020-03-26,508826.0,20,3.93062,0.0,0,4,0
191,São José,4216602.0,2020-03-26,250181.0,8,3.19768,0.0,0,3,0
193,São Pedro de Alcântara,4217253.0,2020-03-26,5935.0,1,16.8492,0.0,0,0,0
198,Antônio Carlos,4201208.0,2020-03-27,8613.0,1,11.61036,0.0,0,1,0
207,Florianópolis,4205407.0,2020-03-27,508826.0,27,5.30633,0.0,0,7,0
225,São José,4216602.0,2020-03-27,250181.0,8,3.19768,0.0,0,0,0
228,São Pedro de Alcântara,4217253.0,2020-03-27,5935.0,1,16.8492,0.0,0,0,0
233,Antônio Carlos,4201208.0,2020-03-28,8613.0,1,11.61036,0.0,0,0,0
243,Florianópolis,4205407.0,2020-03-28,508826.0,30,5.89593,0.0,0,3,0
263,São José,4216602.0,2020-03-28,250181.0,9,3.5974,0.0,0,1,0
266,São Pedro de Alcântara,4217253.0,2020-03-28,5935.0,1,16.8492,0.0,0,0,0
272,Antônio Carlos,4201208.0,2020-03-29,8613.0,1,11.61036,0.0,0,0,0
282,Florianópolis,4205407.0,2020-03-29,508826.0,40,7.86123,0.0,0,10,0
303,São José,4216602.0,2020-03-29,250181.0,10,3.9971099999999997,0.0,0,1,0
306,São Pedro de Alcântara,4217253.0,2020-03-29,5935.0,1,16.8492,0.0,0,0,0
312,Antônio Carlos,4201208.0,2020-03-30,8613.0,1,11.61036,0.0,0,0,0
322,Florianópolis,4205407.0,2020-03-30,508826.0,50,9.82654,0.0,0,10,0
344,São José,4216602.0,2020-03-30,250181.0,10,3.9971099999999997,0.0,0,0,0
347,São Pedro de Alcântara,4217253.0,2020-03-30,5935.0,1,16.8492,0.0,0,0,0
353,Antônio Carlos,4201208.0,2020-03-31,8613.0,1,11.61036,0.0,0,0,0
363,Florianópolis,4205407.0,2020-03-31,508826.0,58,11.39879,0.0,0,8,0
385,São José,4216602.0,2020-03-31,250181.0,10,3.9971099999999997,0.0,0,0,0
388,São Pedro de Alcântara,4217253.0,2020-03-31,5935.0,1,16.8492,0.0,0,0,0
394,Antônio Carlos,4201208.0,2020-04-01,8613.0,1,11.61036,0.0,0,0,0
404,Florianópolis,4205407.0,2020-04-01,508826.0,60,11.79185,0.0,0,2,0
426,São José,4216602.0,2020-04-01,250181.0,10,3.9971099999999997,0.0,0,0,0
429,São Pedro de Alcântara,4217253.0,2020-04-01,5935.0,1,16.8492,0.0,0,0,0
435,Antônio Carlos,4201208.0,2020-04-02,8613.0,8,92.88285,0.125,1,7,1
438,Biguaçu,4202305.0,2020-04-02,69486.0,1,1.4391399999999999,0.0,0,1,0
446,Florianópolis,4205407.0,2020-04-02,508826.0,71,13.95369,0.0141,1,11,1
470,São José,4216602.0,2020-04-02,250181.0,12,4.796530000000001,0.0,0,2,0
473,São Pedro de Alcântara,4217253.0,2020-04-02,5935.0,1,16.8492,0.0,0,0,0
479,Antônio Carlos,4201208.0,2020-04-03,8613.0,8,92.88285,0.125,1,0,0
483,Biguaçu,4202305.0,2020-04-03,69486.0,1,1.4391399999999999,0.0,0,0,0
491,Florianópolis,4205407.0,2020-04-03,508826.0,78,15.329410000000001,0.0128,1,7,0
493,Governador Celso Ramos,4206009.0,2020-04-03,14606.0,1,6.8465,0.0,0,1,0
511,Palhoça,4211900.0,2020-04-03,175272.0,1,0.5705399999999999,0.0,0,1,0
