,city,city_ibge_code,date,new_confirmed,new_deaths,latitude,longitude
0,Florianópolis,4205407.0,2020-03-12,2,0,-27.5945,-48.5477
2,Florianópolis,4205407.0,2020-03-13,0,0,-27.5945,-48.5477
5,Florianópolis,4205407.0,2020-03-14,0,0,-27.5945,-48.5477
10,Florianópolis,4205407.0,2020-03-15,0,0,-27.5945,-48.5477
15,Florianópolis,4205407.0,2020-03-16,1,0,-27.5945,-48.5477
20,Florianópolis,4205407.0,2020-03-17,0,0,-27.5945,-48.5477
26,Florianópolis,4205407.0,2020-03-18,2,0,-27.5945,-48.5477
33,Florianópolis,4205407.0,2020-03-19,1,0,-27.5945,-48.5477
36,São José,4216602.0,2020-03-19,1,0,-27.6136,-48.6366
43,Florianópolis,4205407.0,2020-03-20,4,0,-27.5945,-48.5477
50,São José,4216602.0,2020-03-20,0,0,-27.6136,-48.6366
57,Florianópolis,4205407.0,2020-03-21,0,0,-27.5945,-48.5477
67,São José,4216602.0,2020-03-21,1,0,-27.6136,-48.6366
75,Florianópolis,4205407.0,2020-03-22,0,0,-27.5945,-48.5477
86,São José,4216602.0,2020-03-22,1,0,-27.6136,-48.6366
94,Florianópolis,4205407.0,2020-03-23,5,0,-27.5945,-48.5477
108,São José,4216602.0,2020-03-23,1,0,-27.6136,-48.6366
116,Florianópolis,4205407.0,2020-03-24,5,0,-27.5945,-48.5477
131,São José,4216602.0,2020-03-24,2,0,-27.6136,-48.6366
143,Florianópolis,4205407.0,2020-03-25,-4,0,-27.5945,-48.5477
159,São José,4216602.0,2020-03-25,-1,0,-27.6136,-48.6366
161,São Pedro de Alcântara,4217253.0,2020-03-25,1,0,-27.5665,-48.8048
173,Florianópolis,4205407.0,2020-03-26,4,0,-27.5945,-48.5477
191,São José,4216602.0,2020-03-26,3,0,-27.6136,-48.6366
193,São Pedro de Alcântara,4217253.0,2020-03-26,0,0,-27.5665,-48.8048
198,Antônio Carlos,4201208.0,2020-03-27,1,0,-27.5191,-48.766000000000005
207,Florianópolis,4205407.0,2020-03-27,7,0,-27.5945,-48.5477
225,São José,4216602.0,2020-03-27,0,0,-27.6136,-48.6366
228,São Pedro de Alcântara,4217253.0,2020-03-27,0,0,-27.5665,-48.8048
233,Antônio Carlos,4201208.0,2020-03-28,0,0,-27.5191,-48.766000000000005
243,Florianópolis,4205407.0,2020-03-28,3,0,-27.5945,-48.5477
263,São José,4216602.0,2020-03-28,1,0,-27.6136,-48.6366
266,São Pedro de Alcântara,4217253.0,2020-03-28,0,0,-27.5665,-48.8048
272,Antônio Carlos,4201208.0,2020-03-29,0,0,-27.5191,-48.766000000000005
282,Florianópolis,4205407.0,2020-03-29,10,0,-27.5945,-48.5477
303,São José,4216602.0,2020-03-29,1,0,-27.6136,-48.6366
306,São Pedro de Alcântara,4217253.0,2020-03-29,0,0,-27.5665,-48.8048
312,Antônio Carlos,4201208.0,2020-03-30,0,0,-27.5191,-48.766000000000005
322,Florianópolis,4205407.0,2020-03-30,10,0,-27.5945,-48.5477
344,São José,4216602.0,2020-03-30,0,0,-27.6136,-48.6366
347,São Pedro de Alcântara,4217253.0,2020-03-30,0,0,-27.5665,-48.8048
353,Antônio Carlos,4201208.0,2020-03-31,0,0,-27.5191,-48.766000000000005
363,Florianópolis,4205407.0,2020-03-31,8,0,-27.5945,-48.5477
385,São José,4216602.0,2020-03-31,0,0,-27.6136,-48.6366
388,São Pedro de Alcântara,4217253.0,2020-03-31,0,0,-27.5665,-48.8048
394,Antônio Carlos,4201208.0,2020-04-01,0,0,-27.5191,-48.766000000000005
404,Florianópolis,4205407.0,2020-04-01,2,0,-27.5945,-48.5477
426,São José,4216602.0,2020-04-01,0,0,-27.6136,-48.6366
429,São Pedro de Alcântara,4217253.0,2020-04-01,0,0,-27.5665,-48.8048
435,Antônio Carlos,4201208.0,2020-04-02,7,1,-27.5191,-48.766000000000005
438,Biguaçu,4202305.0,2020-04-02,1,0,-27.496,-48.6598
446,Florianópolis,4205407.0,2020-04-02,11,1,-27.5945,-48.5477
470,São José,4216602.0,2020-04-02,2,0,-27.6136,-48.6366
473,São Pedro de Alcântara,4217253.0,2020-04-02,0,0,-27.5665,-48.8048
479,Antônio Carlos,4201208.0,2020-04-03,0,0,-27.5191,-48.766000000000005
483,Biguaçu,4202305.0,2020-04-03,0,0,-27.496,-48.6598
491,Florianópolis,4205407.0,2020-04-03,7,0,-27.5945,-48.5477
493,Governador Celso Ramos,4206009.0,2020-04-03,1,0,-27.3172,-48.5576
511,Palhoça,4211900.0,2020-04-03,1,0,-27.6455,-48.6697
520,São José,4216602.0,2020-04-03,0,0,-27.6136,-48.6366
523,São Pedro de Alcântara,4217253.0,2020-04-03,0,0,-27.5665,-48.8048
529,Antônio Carlos,4201208.0,2020-04-04,0,0,-27.5191,-48.766000000000005
534,Biguaçu,4202305.0,2020-04-04,0,0,-27.496,-48.6598
542,Florianópolis,4205407.0,2020-04-04,13,1,-27.5945,-48.5477
544,Governador Celso Ramos,4206009.0,2020-04-04,0,0,-27.3172,-48.5576
563,Palhoça,4211900.0,2020-04-04,2,0,-27.6455,-48.6697
574,São José,4216602.0,2020-04-04,3,0,-27.6136,-48.6366
577,São Pedro de Alcântara,4217253.0,2020-04-04,0,0,-27.5665,-48.8048
583,Antônio Carlos,4201208.0,2020-04-05,0,0,-27.5191,-48.766000000000005
588,Biguaçu,4202305.0,2020-04-05,0,0,-27.496,-48.6598
596,Florianópolis,4205407.0,2020-04-05,3,0,-27.5945,-48.5477
598,Governador Celso Ramos,4206009.0,2020-04-05,1,0,-27.3172,-48.5576
617,Palhoça,4211900.0,2020-04-05,0,0,-27.6455,-48.6697
629,São José,4216602.0,2020-04-05,2,0,-27.6136,-48.6366
632,São Pedro de Alcântara,4217253.0,2020-04-05,0,0,-27.5665,-48.8048
638,Antônio Carlos,4201208.0,2020-04-06,0,0,-27.5191,-48.766000000000005
643,Biguaçu,4202305.0,2020-04-06,0,0,-27.496,-48.6598
